letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
X-,gamma5,alpha3,anti,cw,e,n,dash,None,n,s
X-,gamma6,alpha4,anti,cw,s,e,dash,None,e,w
X-,gamma7,alpha1,anti,cw,w,s,dash,None,s,n
X-,gamma8,alpha2,anti,cw,n,w,dash,None,w,e
X-,gamma1,alpha3,anti,ccw,w,n,dash,None,n,s
X-,gamma2,alpha4,anti,ccw,n,e,dash,None,e,w
X-,gamma3,alpha1,anti,ccw,e,s,dash,None,s,n
X-,gamma4,alpha2,anti,ccw,s,w,dash,None,w,e
X-,gamma1,alpha4,dash,None,w,e,anti,cw,n,w
X-,gamma2,alpha1,dash,None,n,s,anti,cw,e,n
X-,gamma3,alpha2,dash,None,e,w,anti,cw,s,e
X-,gamma4,alpha3,dash,None,s,n,anti,cw,w,s
X-,gamma5,alpha2,dash,None,e,w,anti,ccw,n,e
X-,gamma6,alpha3,dash,None,s,n,anti,ccw,e,s
X-,gamma7,alpha4,dash,None,w,e,anti,ccw,s,w
X-,gamma8,alpha1,dash,None,n,s,anti,ccw,w,n
